	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
135	408051	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
136	403469	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
137	409782	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
138	409781	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
139	190642	No	Alimony or Other Spousal Support (HUD)		7/22/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/22/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
140	76511	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
141	90711	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
142	157473	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
143	371777	No	Alimony or Other Spousal Support (HUD)		9/1/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
144	346065	No	Alimony or Other Spousal Support (HUD)		3/18/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/18/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
145	280218	No	Alimony or Other Spousal Support (HUD)		1/5/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		1/5/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
146	406433	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/31/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
147	385899	No	Alimony or Other Spousal Support (HUD)		1/5/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		1/5/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
148	410002	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
149	214022	No	Alimony or Other Spousal Support (HUD)		5/20/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/20/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
150	344699	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		9/1/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
151	344697	No	Alimony or Other Spousal Support (HUD)		7/1/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/1/2014		Urban Ministries of Durham - Durham County(1562)
